id,date,city,venue,category,title,time,ticketUrl,cost
"139","2020-06-26","Anchorage","The Arc of Anchorage","dance","Under The Sea Virtual Dance","5p-7p","",""
"140","2020-06-26","Anchorage","Dirty Skillet","music","Jared Woods","6p-10p","",""
"141","2020-06-26","Anchorage","American Legion Spenard Post 28","music","Acoustic Steak Night w/ Jason Ott","6p-8p","",""
"142","2020-06-26","Anchorage","Driveway Concert (South Anchorage)","music","Hwy9","6p-8p","",""
"143","2020-06-26","Anchorage","Matanuska Brewing (Eagle River)","music","Ken Peltier Backyard Summer Concert","7p-10p","",""
"144","2020-06-26","Anchorage","Palmer Alehouse (Palmer)","music","I Like Robots","7p-10p","",""
"145","2020-06-26","Anchorage","Settlers Bay Golf Course (Wasilla)","music","The Jangle Bees","7p-10p","",""
"146","2020-06-26","Anchorage","Humpys","music","Unknowns","8p-12a","",""
"147","2020-06-26","Anchorage","Williwaw","dance","Dance Party with DJ Fan Service","9:30p-1:30a","",""
"148","2020-06-26","Anchorage","Garcia’s Cantina & Café (Eagle River)","music","The Stack Alaska","9p-12a","",""
"149","2020-06-26","Anchorage","Williwaw","music","Roof Jamz","9p-12a","",""
"150","2020-06-26","Anchorage","Alaska Dance Promotions","dance","Friday Night Dance Lounge","9p-1a","",""
"151","2020-06-26","Anchorage","The Boatel (Fairbanks)","music","Superfrequency","9p-1a","",""
"152","2020-06-26","Anchorage","The Catch Restaurant and Bar","music","Ben Balivet","9p-1a","",""
"153","2020-06-26","Anchorage","International Hotel and Bar (Fairbanks)","music","Summer Song Battles: Leaps and Bounds Music & John Shewfelt Jr 7p","9p-1a","",""
"154","2020-06-26","Anchorage","Yukon Bar (Seward)","music","Ukulele Russ & His One Man Frontier Band","9p-1a","",""
"155","2020-06-26","Anchorage","International Hotel and Bar (Fairbanks)","music","Tony Taylor the Artist","9p-2a","",""
"156","2020-06-27","Anchorage","The Writer’s Block Bookstore & Café","music","Love Bizzare Block Party 2020","4p-10p","",""
"157","2020-06-27","Anchorage","Marine Park (Juneau)","music","Daughters Of The New Moon Summer Pop Up!","5p-5:30p","",""
"158","2020-06-27","Anchorage","Dirty Skillet","music","Todd Grebe","6p-10p","",""
"159","2020-06-27","Anchorage","Matanuska Brewing (Eagle River)","music","Denali Cooks Backyard Summer Concert","7p-10p","",""
"160","2020-06-27","Anchorage","Palmer Alehouse","music","The Jangle Bees Live","7p-10p","",""
"161","2020-06-27","Anchorage","Floater’s (Big Lake)","music","Danger & Diva","8p-12a","",""
"162","2020-06-27","Anchorage","Williwaw","music","Nervis Rex","9:30p-1a","",""
"163","2020-06-27","Anchorage","Williwaw","music","Roof Jamz","9p-12a","",""
"164","2020-06-27","Anchorage","International Hotel and Bar (Fairbanks)","music","Benefield Blues Band","9p-1a","",""
"165","2020-06-28","Anchorage","Anchorage Downtown Partnership","dance","Salsa in the Park","1p-3p","",""
"166","2020-06-28","Anchorage","106.1 FM Out North Radio","music","Beat Roots Alaska: w/ BeeOne","3p-5p","",""
"167","2020-06-28","Anchorage","Driveway Concert (Eagle River)","music","Hwy9","6p-8p","",""
"168","2020-06-28","Anchorage","Williwaw","music","Doses & Mimosas on the Roof w/ DJ GRE and DJ Lloyds Noize","6p-9p","",""
"169","2020-06-28","Anchorage","Dirty Skillet","comedy","Black Sheep Comedy: Laugh 4 Hope in HOPE","7p-10p","",""
